"ID";"SKU";"Title";"Izm";"Price";"Type";\n"1";"13405";"Брусок Лодочка";"шт";"24.70";"Абразивный инструмент>>Бруски шлифовальные"
"44";"6774";"Круг д/заточки пил 3 150х10х32 14А 25СТ2  В 40 2 угол 45 черт. (60 Р) (Луга)";"шт";"29.25";"Круги отрезные>>Круги для заточки пил"
"45";"6790";"Круг д/заточки пил 3 150х8х32 14А 16СТ1 В 40 2 угол 45 черт. (90 О) (Луга)";"шт";"26.55";"Круги отрезные>>Круги для заточки пил"
"46";"6233";"Круг д/заточки пил 3 175х10х32 14А  40 СТ1 (60 Р) (Луга)";"шт";"38.65";"Круги отрезные>>Круги для заточки пил"
"47";"6775";"Круг д/заточки пил 3 175х10х32 14А 60 Р В 40 2 (Луга)";"шт";"38.65";"Круги отрезные>>Круги для заточки пил"
"48";"6777";"Круг д/заточки пил 3 200х10х32 14А 40 Р В 40 2 (Луга)";"шт";"51.25";"Круги отрезные>>Круги для заточки пил"
"49";"15746";"Круг д/заточки пил 300х 6х76 14А 16СТ";"шт";"107.00";"Круги отрезные>>Круги для заточки пил"
"50";"5492";"Круг д/заточки пил 300х 8х76 14А 16СТ (ИСМА)";"шт";"122.00";"Круги отрезные>>Круги для заточки пил"
"51";"8851";"Круг д/заточки пил 300х10х127 14А  (Луга)";"шт";"119.00";"Круги отрезные>>Круги для заточки пил"
"52";"12705";"Круг д/заточки пил 300х10х127 14А 16СТ";"шт";"119.00";"Круги отрезные>>Круги для заточки пил"
"53";"3159";"Круг д/заточки пил 300х10х76 14А 16СТ (ИСМА)";"шт";"137.00";"Круги отрезные>>Круги для заточки пил"
"54";"12766";"Круг д/заточки пил 300х10х76 14А 40CМ2 40L (Луга)";"шт";"130.00";"Круги отрезные>>Круги для заточки пил"
"55";"3158";"Круг д/заточки пил 300х10х76 40 ОВ (Луга)";"шт";"102.40";"Круги отрезные>>Круги для заточки пил"
"56";"5490";"Круг д/заточки пил 300х6х127 14А (Луга)";"шт";"53.20";"Круги отрезные>>Круги для заточки пил"
"57";"5491";"Круг д/заточки пил 300х8х127 14А (Луга)";"шт";"110.00";"Круги отрезные>>Круги для заточки пил"
"58";"6840";"Круг д/заточки пил 300х8х127 14А 16СТ";"шт";"110.00";"Круги отрезные>>Круги для заточки пил"
"59";"10635";"Круг зачистной 115х 6х22 (Луга)";"шт";"27.60";"Круги отрезные>>Круги зачистные"
"60";"19799";"Круг зачистной 115х 6х22 (Луга) тип 27";"шт";"29.00";"Круги отрезные>>Круги зачистные"
"61";"17331";"Круг зачистной 115х 6х22 14А СТ БУ тип27 (ИСМА)";"шт";"26.75";"Круги отрезные>>Круги зачистные"
"62";"23400";"Круг зачистной 125х 6х22 (RinG)";"шт";"24.00";"Круги отрезные>>Круги зачистные"
"63";"22829";"Круг зачистной 125х 6х22 (Л)";"шт";"30.55";"Круги отрезные>>Круги зачистные"
"64";"7774";"Круг зачистной 125х 6х22 (Луга)";"шт";"30.55";"Круги отрезные>>Круги зачистные"
"65";"23326";"Круг зачистной 125х 6х22,2 (ЗУБР)";"шт";"41.00";"Круги отрезные>>Круги зачистные"
"66";"5704";"Круг зачистной 150х 6х22 (Луга)";"шт";"39.10";"Круги отрезные>>Круги зачистные"
"67";"7280";"Круг зачистной 150х 6х32 (Луга)";"шт";"42.35";"Круги отрезные>>Круги зачистные"
"68";"21054";"Круг зачистной 150х6х22 (Ring)";"шт";"34.50";"Круги отрезные>>Круги зачистные"
"69";"1445";"Круг зачистной 180х 6х22 (ИСМА)";"шт";"26.10";"Круги отрезные>>Круги зачистные"
"70";"5251";"Круг зачистной 180х 6х22 (Луга)";"шт";"46.30";"Круги отрезные>>Круги зачистные"
"71";"17113";"Круг зачистной 180х 6х22 (ЧАЗ)";"шт";"29.00";"Круги отрезные>>Круги зачистные"
"72";"11857";"Круг зачистной 180х 6х22 14А 80СТ";"шт";"62.90";"Круги отрезные>>Круги зачистные"
"73";"13956";"Круг зачистной 180х 6х22 14А СТ БУ тип27 (ИСМА)";"шт";"42.15";"Круги отрезные>>Круги зачистные"
"74";"23327";"Круг зачистной 180х 6х22,2 (ЗУБР)";"шт";"70.00";"Круги отрезные>>Круги зачистные"
"75";"18128";"Круг зачистной 180х 6х32 (ИСМА)";"шт";"46.80";"Круги отрезные>>Круги зачистные"
"76";"19301";"Круг зачистной 180х 6х32 (Луга)";"шт";"50.15";"Круги отрезные>>Круги зачистные"
"77";"23681";"Круг зачистной 180х6х22 (RinG)";"шт";"46.00";"Круги отрезные>>Круги зачистные"
"78";"9858";"Круг зачистной 230х 10х22 14А 80СТ тип 27";"шт";"75.00";"Круги отрезные>>Круги зачистные"
"79";"23243";"Круг зачистной 230х 6х22 (RinG)";"шт";"70.00";"Круги отрезные>>Круги зачистные"
"80";"9300";"Круг зачистной 230х 6х22 (ИСМА)";"шт";"38.40";"Круги отрезные>>Круги зачистные"
"81";"17178";"Круг зачистной 230х 6х22 (Л)";"шт";"68.30";"Круги отрезные>>Круги зачистные"
"82";"8174";"Круг зачистной 230х 6х22 (Луга)";"шт";"69.10";"Круги отрезные>>Круги зачистные"
"83";"17330";"Круг зачистной 230х 6х22 14А СТ БУ тип27 (ИСМА)";"шт";"52.35";"Круги отрезные>>Круги зачистные"
"84";"15306";"Круг зачистной 230х 6х22 54С 80Т (Луга)";"шт";"42.80";"Круги отрезные>>Круги зачистные"
"85";"11873";"Круг зачистной 230х 6х32 (Луга)";"шт";"70.45";"Круги отрезные>>Круги зачистные"
"86";"7769";"Круг зачистной 230х 8х22 14А 80СТ тип 27";"шт";"54.90";"Круги отрезные>>Круги зачистные"
"87";"13955";"Круг зачистной 230х 8х22 кам. (Луга)";"шт";"38.10";"Круги отрезные>>Круги зачистные"
"88";"23680";"Круг зачистной 230х6х22 (RinG)";"шт";"70.00";"Круги отрезные>>Круги зачистные"
"89";"21055";"Шпиндель для кругов 150х13 мм 07948";"шт";"305.85";"Круги отрезные>>Круги зачистные"
"90";"13855";"Круг зачистной 230х10х22 кам. (Луга)";"шт";"47.60";"Круги отрезные>>Круги по камню"
"91";"12484";"Круг отрезной 115х2,5х22 (кам.) (Луга)";"шт";"10.40";"Круги отрезные>>Круги по камню"
"92";"12485";"Круг отрезной 115х3х22 (кам.) (Луга)";"шт";"10.60";"Круги отрезные>>Круги по камню"
"93";"5216";"Круг отрезной 115х6х22 (кам.) (Луга)";"шт";"19.40";"Круги отрезные>>Круги по камню"
"94";"2567";"Круг отрезной 125х2,0х22 (кам.) (Луга)";"шт";"12.10";"Круги отрезные>>Круги по камню"
"95";"10287";"Круг отрезной 125х2,5х22 (кам.) (Луга)";"шт";"13.00";"Круги отрезные>>Круги по камню"
"96";"11352";"Круг отрезной 125х3х22 (кам.) (Луга)";"шт";"11.90";"Круги отрезные>>Круги по камню"
"97";"12708";"Круг отрезной 125х6х22 (кам.) (Луга)";"шт";"22.55";"Круги отрезные>>Круги по камню"
"98";"15036";"Круг отрезной 150х2,0х22 (кам.) (Луга)";"шт";"15.35";"Круги отрезные>>Круги по камню"
"99";"11353";"Круг отрезной 150х2,5х22 (кам.) (Луга)";"шт";"16.05";"Круги отрезные>>Круги по камню"
"100";"12486";"Круг отрезной 150х3х22 (кам.) (Луга)";"шт";"14.60";"Круги отрезные>>Круги по камню"
"101";"12344";"Круг отрезной 180х2,0х22 (кам.) (Луга)";"шт";"19.40";"Круги отрезные>>Круги по камню"
"102";"7624";"Круг отрезной 180х2,5х22 (кам.) (Луга)";"шт";"20.90";"Круги отрезные>>Круги по камню"
"103";"11415";"Круг отрезной 180х3х22 (кам.) (Луга)";"шт";"18.90";"Круги отрезные>>Круги по камню"
"104";"9283";"Круг отрезной 200х2,5х22 (кам.) (Луга)";"шт";"27.25";"Круги отрезные>>Круги по камню"
"105";"9284";"Круг отрезной 200х2,5х32 (кам.) (Луга)";"шт";"24.30";"Круги отрезные>>Круги по камню"
"106";"7728";"Круг отрезной 200х2х22 (кам.) (Луга)";"шт";"18.60";"Круги отрезные>>Круги по камню"
"107";"7625";"Круг отрезной 200х3х22 (кам.) (Луга)";"шт";"24.70";"Круги отрезные>>Круги по камню"
"108";"6078";"Круг отрезной 230х2,5х22 (кам.) (Луга)";"шт";"31.15";"Круги отрезные>>Круги по камню"
"109";"9285";"Круг отрезной 230х2,5х32 (кам.) (Луга)";"шт";"29.30";"Круги отрезные>>Круги по камню"
"110";"5077";"Круг отрезной 230х3х22 (кам.) (Луга)";"шт";"31.40";"Круги отрезные>>Круги по камню"
"111";"17176";"Круг отрезной 230х6х22 (кам.) (Луга)";"шт";"43.95";"Круги отрезные>>Круги по камню"
"112";"11868";"Круг отрезной 300х3,2х32 54С 63Н для огеупоров (Резолит)";"шт";"45.90";"Круги отрезные>>Круги по камню"
"113";"12487";"Круг отрезной 300х3х32 (кам.) (Луга)";"шт";"44.70";"Круги отрезные>>Круги по камню"
"114";"8331";"Круг отрезной 400х4х32 (кам.) (Иваново)";"шт";"90.10";"Круги отрезные>>Круги по камню"
"115";"21155";"Круг алмазный отрезной IAIR 300*2,0*7,0*32 М80";"шт";"1981.95";"Круги отрезные>>Круги по металлу"
"116";"21363";"Круг вулк. 14а пп200*003*032 16СТ";"шт";"72.10";"Круги отрезные>>Круги по металлу"
"117";"3515";"Круг отрезной 115х1,0х22 (Луга)";"шт";"10.75";"Круги отрезные>>Круги по металлу"
"118";"1757";"Круг отрезной 115х1,2х22 (Луга)";"шт";"9.75";"Круги отрезные>>Круги по металлу"
"119";"5191";"Круг отрезной 115х1,6х22 (Луга)";"шт";"12.00";"Круги отрезные>>Круги по металлу"
"120";"6841";"Круг отрезной 115х2,0х22 (Луга)";"шт";"11.45";"Круги отрезные>>Круги по металлу"
"121";"10476";"Круг отрезной 115х2,5х22 (Луга)";"шт";"14.30";"Круги отрезные>>Круги по металлу"
